title,first_day,end_day,status,avg_rating,episode_count,description
나의 완벽한 비서,2025.01.03,2025.02.14,종영,10.20%,12부작,일'만' 잘하는 CEO와 일'도' 완벽한 비서의 밀착 케어 로맨스 육아독존 비서 유은호와 유아독존 CEO 강지윤의 본격 케어 로맨스 드라마. 잘나가는 헤드헌터회사 CEO 지만 일 말고는 혼자 할 수 있는 게 아무것도 없는 강지윤 앞에 완벽함으로 무장한 유은호가 비서로 나타나면서 서로가 서로를 성장시키는 이야기.
별들에게 물어봐,2025.01.04,2025.02.23,종영,2.40%,16부작,나의 소중한 일터에 불청객이 찾아왔다. 무중력 우주정거장에서 일하는 보스 '이브'와 비밀스러운 미션을 가진 불청객 '공룡'의 지구밖 생활기
원경 .,2025.01.06,2025.02.11,종영,,12부작,"남편 태종 이방원과 함께 권력을 쟁취한 원경왕후. 왕과 왕비, 남편과 아내, 그 사이 감춰진 뜨거운 이야기"
모텔 캘리포니아,2025.01.10,2025.02.15,종영,4.30%,12부작,"""너의 처음이 나였으면 좋겠어"" 시골 모텔을 배경으로 모텔에서 태어나 모텔에서 자란 여자 주인공이 12년 전 도망친 고향에서 첫사랑과 재회하며 겪는 우여곡절 첫사랑 리모델링 로맨스 드라마"
독수리 5형제를 부탁해!,2025.02.01,2025.08.03,종영,18.40%,54부작,오합지졸 오형제는 막걸리로 대동단결! 오랜 전통의 <독수리술도가>의 개성 만점 5형제와 결혼한 지 열흘 만에 남편의 갑작스러운 죽음으로 졸지에 가장(家長)이 된 맏형수. 그들이 빚어내는 잘 익은 가족이야기.
킥킥킥킥,2025.02.05,2025.03.13,종영,0.80%,12부작,다시 한번 KICK! 세상에 한 방 날리자!! 천만 배우 지진희와 한때 스타 PD였던 조영식이 콘텐츠 제작사를 설립해 유튜브 구독자 300만 달성을 위해 좌충우돌 달려가는 오피스 코미디 드라마
마녀,2025.02.15,2025.03.16,종영,,10부작,어릴 적부터 다가오는 남자 마다 사고가 발생하는 불운의 여자. 동창생 주인공은 모두 우연이라 생각하지만 '마녀'라 불리는 그녀에게 다가갈수록 자신도 점점 위험에 빠진다!
그놈은 흑염룡,2025.02.17,2025.03.24,종영,,12부작,"새로 온 본부장에게서 최악의 첫사랑, ‘흑염룡’의 기운이 느껴진다? 흑역사에 고통받는 ‘본부장 킬러’ 팀장 백수정과 가슴에 흑염룡을 품은 ‘재벌 3세’ 본부장 반주연의 봉인해제 로맨스"
언더커버 하이스쿨,2025.02.21,2025.03.29,종영,6.40%,12부작,학교 어딘가에 금괴가 있다 고종 황제의 사라진 금괴의 행방을 쫓기 위해 신분을 숨기고 고등학생으로 위장 잠입한 국정원 요원의 좌충우돌 N차 고딩 활약기를 그린 코믹 활극
보물섬,2025.02.21,2025.04.12,종영,11.40%,16부작,"좁은 문으로 들어가는 순간, 인생을 건 머니게임이 시작된다 살아남기 위해 2조 원의 정치 비자금을 해킹한 남자와 해킹당한 사실을 모르고 남자를 죽여 2조 원을 영원히 날려버린 비선 실세의 이야기를 담는 드라마"
감자연구소,2025.03.01,2025.04.06,종영,1.60%,12부작,"감자뿐이던 내 연구대상에 이 남자가 굴러왔다! 감자에 울고 웃는 감자 연구소, 감자가 전부인 미경의 인생에 나타난 차가운 원칙주의자 백호. 뱅글뱅글 회오리 감자처럼 휘몰아치는 힐링 코믹로맨스"
라이딩 인생,2025.03.03,2025.03.25,종영,,8부작,오늘도 애태우는 대치동 라이프 딸의 ' 7세 고시 '를 앞둔 열혈 워킹맘 정은이 엄마 지아에게 학원 라이딩을 맡기며 벌어지는 3대 모녀의 '애'태우는 대치동 라이프
협상의 기술,2025.03.08,2025.04.13,종영,7.20%,12부작,M&A의 전설이 온다 전설의 협상가로 불리는 대기업의 M&A 전문가와 그 팀의 활약상을 담은 드라마
빌런의 나라,2025.03.19,2025.04.24,종영,1.70%,24부작,띵동! 주문하신 빌런들이 도착했습니다! K-줌마 자매와 똘끼 충만 가족들의 때론 거칠면서도 때론 따뜻한 일상을 담은 시추에이션 코미디 드라마
이혼 보험,2025.03.31,2025.05.06,종영,,12부작,
신병3,2025.04.07,2025.04.29,종영,,8부작,
바니와 오빠들,2025.04.11,2025.05.17,종영,1.00%,12부작,"그래서 나 누구 좋아하면 되는 거야? 흑역사로 남아버린 첫 연애 이후, 갑자기 다가온 매력적인 남자들과 엮이게 된 바니의 남친 찾기 로맨스 드라마"
언젠가는 슬기로울 전공의생활,2025.04.12,2025.05.18,종영,6.00%,12부작,오늘도 예측할 수 없는 우리들의 하루 '언젠가는 슬기로울' 의사생활을 꿈꾸는 레지던트들이 입덕부정기를 거쳐 성장해 나가는 과정을 담은 '슬기로운 의사생활' 스핀오프 드라마
대운을 잡아라,2025.04.14,2025.10.03,종영,10.10%,121부작,"잡힐 것인가 잡을 것인가 돈 많은, 돈 없는, 돈 많고 싶은 세 친구와 그 가족들이 펼치는 짠내가득 파란만장 성장기"
귀궁,2025.04.18,2025.06.07,종영,9.30%,16부작,"왕에게 원한을 품은 팔척귀와 그에 맞서 싸우는 무녀, 그리고 이무기 강철이의 이야기"
천국보다 아름다운 (드라마),2025.04.19,2025.05.25,종영,6.70%,12부작,나는 당신이 행복했으면 좋겠어 80세의 모습으로 천국에 도착한 해숙이 젊어진 남편 낙준과 재회하면서 벌어지는 현생 초월 로맨스
여왕의 집,2025.04.28,2025.09.19,종영,8.80%,100부작,나는 다시 여왕이 될 것이다 너희가 빼앗은 그 자리에서 완벽한 삶을 송두리째 빼앗긴 여자의 치열한 인생 탈환 복수극! 상위 1%의 여자가 밑바닥에서 다시 피어나 진짜 ‘집’을 찾아간다. 삶의 본질을 되찾기 위해 끝까지 싸워가는 뜨거운 인간 이야기.
24시 헬스클럽,2025.04.30,2025.06.05,종영,1.30%,12부작,나랑 근육 먹고 갈래요? 근성이 넘치는 헬치광이 관장 도현중이 근심이 과다한 헬린이 회원들의 인생을 파격 교정하며 펼쳐지는 두근두근 근(筋)성장 드라마
사계의 봄,2025.05.06,2025.07.02,종영,,10부작,"눈부신 우리의 계절 나의 봄 케이팝 최고 밴드그룹의 스타 ‘사계’가 팀에서 퇴출당하고, 우여곡절 시작된 대학 생활 중 운명처럼 ‘김봄’을 만나 멋지게 재기하는 청춘 음악 로맨스"
당신의 맛,2025.05.12,2025.06.10,종영,2.80%,10부작,"꼭 가져야겠어 그 레시피를, 쓰리스타를, 아니 너의 마음을! 식품 기업을 물려받기 위해 작은 식당을 인수 합병하는 '레시피 사냥꾼'이 된 재벌 상속남 한범우와 전주에서 간판도 없는 원테이블 식당을 운영 중인 똥고집 셰프 모연주의 전쟁 같은 키친 타카 성장 로맨스"
금주를 부탁해,2025.05.12,2025.06.17,종영,,12부작,손절했던 ‘수울’ 메이트와 다시 만났다 지극히 상식적인 애주가라 자평하던 한 여자가 술을 증오하는 첫사랑과 재회하며 금주에 도전하는 맨정신 사수 로맨스
맹감독의 악플러,2025.05.23,2025.05.24,종영,1.20%,2부작,성적 부진으로 퇴출 위기에 놓인 프로농구 감독 '맹공'이 팀 성적을 위해 자신의 악플러 '화진'과 손잡으며 벌어지는 투 맨 게임 코미디
미지의 서울,2025.05.24,2025.06.29,종영,6.50%,12부작,어제는 끝났고 내일은 멀었고 오늘의 서울은 아직 모른다. 얼굴 빼고 모든 게 다른 쌍둥이 자매가 인생을 맞바꾸는 거짓말로 진짜 사랑과 인생을 찾아가는 로맨틱 성장 드라마
노무사 노무진,2025.05.30,2025.06.28,종영,,10부작,목숨을 담보로 한 180일 간의 노무 계약 이행기 유령 보는 노무사의 좌충우돌 노동 문제 해결기를 담은 코믹 판타지 활극
굿보이 (드라마),2025.05.31,2025.07.20,종영,6.00%,16부작,"모두가 뜨거웠던 그날, 우린 영웅이었다 특채로 경찰이 된 메달리스트들이 메달 대신 경찰 신분증을 목에 걸고 비양심과 반칙이 판치는 세상에 맞서 싸우는 코믹 액션 청춘 수사극"
태양을 삼킨 여자,2025.06.09,2025.12.05,방영중,4.70%,120부작,"내게 남은 건 오직 복수뿐이었다 피해자가 가해자로 둔갑한 세상, 하나뿐인 딸의 이름으로 재벌가에 맞선 한 여자의 처절한 복수극을 그린 드라마"
