title,genre_name,channel_name,first_day,end_day,status,directir,writer,avg_rating
나의 완벽한 비서,"로맨틱 코미디, 오피스, 가족, 성장, 휴먼",SBS TV,2025년 1월 3일,2025년 2월 14일,방영중,"함준호, 김재홍",지은,10.2%
별들에게 물어봐,"로맨스, 코미디, 드라마, SF",한국,2025년 1월 4일,2025년 2월 23일,방영중,"박신우, 김진성",서숙향,2.4%
원경 .,사극,대한민국,2025년 1월 6일,2025년 2월 11일,방영중,김상호,이영미,
모텔 캘리포니아,로맨스,MBC TV,2025년 1월 10일,2025년 2월 15일,방영중,"장준호, 김형민, 이재진",이서윤,4.3%
독수리 5형제를 부탁해!,"가족, 주류, 멜로, 로맨스, 코미디, 드라마",대한민국,2025년 2월 1일,2025년 8월 3일,방영중,최상열,구현숙,18.4%
킥킥킥킥,"코미디, 드라마",한국,2025년 2월 5일,2025년 3월 13일,방영중,구성준,"정수현, 남은경, 정해영",0.8%
마녀,"미스터리, 로맨스",대한민국,2025년 2월 15일,2025년 3월 16일,방영중,김태균,조유진,
그놈은 흑염룡,"로맨틱 코미디, 오피스",대한민국,2025년 2월 17일,2025년 3월 24일,방영중,이수현,김수연,
언더커버 하이스쿨,"범죄, 수사, 액션, 학교, 로맨틱, 코미디",대한민국,2025년 2월 21일,2025년 3월 29일,방영중,최정인,임영빈,6.4%
보물섬,"범죄, 미스터리, 스릴러, 서스펜스, 복수, 피카레스크",대한민국,2025년 2월 21일,2025년 4월 12일,방영중,진창규,이명희,11.4%
감자연구소,"로맨스, 코미디",한국,2025년 3월 1일,2025년 4월 6일,방영중,"강일수, 심재현",김호수,1.6%
라이딩 인생,드라마,한국,2025년 3월 3일,2025년 3월 25일,방영중,김철규,"성윤아, 조원동",
협상의 기술,"오피스, 정치",JTBC,2025년 3월 8일,2025년 4월 13일,방영중,안판석,이승영,7.2%
빌런의 나라,"코미디, 성장, 블랙코미디, 피카레스크",한국,2025년 3월 19일,2025년 4월 24일,방영중,"김영조, 최정은","채우, 박광연",1.7%
이혼 보험,"로맨틱 코미디, 오피스",대한민국,2025년 3월 31일,2025년 5월 6일,방영중,이원석,이태윤,
신병3,"블랙 코미디, 밀리터리, 사회고발",한국,2025년 4월 7일,2025년 4월 29일,방영중,민진기,"윤기영, 강고은",
바니와 오빠들,"로맨스, 코미디, 드라마",대한민국,2025년 4월 11일,2025년 5월 17일,방영중,김지훈,"성소은, 이슬",1.0%
언젠가는 슬기로울 전공의생활,드라마,대한민국,2025년 6월 11일,2025년 7월 17일,방영중,이민수,김사경,6.0%
대운을 잡아라,"가족, 코미디, 드라마",대한민국,2025년 4월 14일,2025년 10월 3일,방영중,박만영,손지혜,10.1%
귀궁,"사극, 로맨스, 판타지, 코미디, 드라마",한국,2025년 4월 18일,2025년 6월 7일,방영중,윤성식,윤수정,9.3%
천국보다 아름다운 (드라마),"드라마, 로맨스, 코미디, 성장",JTBC,2025년 4월 19일,2025년 5월 25일,방영중,김석윤,이남규,6.7%
