title,first_day,end_day,status,avg_rating,episode_count
나의 완벽한 비서,2025.01.03,2025.02.14,종영,10.20%,12부작
별들에게 물어봐,2025.01.04,2025.02.23,종영,2.40%,16부작
원경 .,2025.01.06,2025.02.11,종영,,12부작
모텔 캘리포니아,2025.01.10,2025.02.15,종영,4.30%,12부작
독수리 5형제를 부탁해!,2025.02.01,2025.08.03,종영,18.40%,54부작
킥킥킥킥,2025.02.05,2025.03.13,종영,0.80%,12부작
마녀,2025.02.15,2025.03.16,종영,,10부작
그놈은 흑염룡,2025.02.17,2025.03.24,종영,,12부작
언더커버 하이스쿨,2025.02.21,2025.03.29,종영,6.40%,12부작
보물섬,2025.02.21,2025.04.12,종영,11.40%,16부작
감자연구소,2025.03.01,2025.04.06,종영,1.60%,12부작
라이딩 인생,2025.03.03,2025.03.25,종영,,8부작
협상의 기술,2025.03.08,2025.04.13,종영,7.20%,12부작
빌런의 나라,2025.03.19,2025.04.24,종영,1.70%,24부작
이혼 보험,2025.03.31,2025.05.06,종영,,12부작
신병3,2025.04.07,2025.04.29,종영,,8부작
바니와 오빠들,2025.04.11,2025.05.17,종영,1.00%,12부작
언젠가는 슬기로울 전공의생활,2025.04.12,2025.05.18,종영,6.00%,12부작
대운을 잡아라,2025.04.14,2025.10.03,종영,10.10%,121부작
귀궁,2025.04.18,2025.06.07,종영,9.30%,16부작
천국보다 아름다운 (드라마),2025.04.19,2025.05.25,종영,6.70%,12부작
여왕의 집,2025.04.28,2025.09.19,종영,8.80%,100부작
24시 헬스클럽,2025.04.30,2025.06.05,종영,1.30%,12부작
사계의 봄,2025.05.06,2025.07.02,종영,,10부작
당신의 맛,2025.05.12,2025.06.10,종영,2.80%,10부작
금주를 부탁해,2025.05.12,2025.06.17,종영,,12부작
맹감독의 악플러,2025.05.23,2025.05.24,종영,1.20%,2부작
미지의 서울,2025.05.24,2025.06.29,종영,6.50%,12부작
노무사 노무진,2025.05.30,2025.06.28,종영,,10부작
굿보이 (드라마),2025.05.31,2025.07.20,종영,6.00%,16부작
태양을 삼킨 여자,2025.06.09,2025.12.05,방영중,4.70%,120부작
남주의 첫날밤을 가져버렸다,2025.06.11,2025.07.17,종영,2.90%,12부작
우리 영화,2025.06.13,2025.07.19,종영,,12부작
살롱 드 홈즈,2025.06.16,2025.07.15,종영,,10부작
견우와 선녀,2025.06.23,2025.07.29,종영,,12부작
카지노,2025.07.04,2025.07.26,종영,10.40%,16부작
서초동,2025.07.05,2025.08.10,종영,,12부작
디어엠,2025.07.09,2025.08.14,종영,,12부작
착한 사나이,2025.07.18,2025.08.29,종영,,14부작
아이쇼핑,2025.07.21,2025.08.12,종영,,8부작
내 여자친구는 상남자,2025.07.23,2025.08.28,종영,1.10%,12부작
트라이: 우리는 기적이 된다,2025.07.25,2025.08.30,종영,,
메리 킬즈 피플,2025.08.01,2025.09.12,종영,1.90%,12부작
에스콰이어: 변호사를 꿈꾸는 변호사들,2025.08.02,2025.09.07,종영,,
여행을 대신해 드립니다,2025.08.02,2025.08.31,종영,,10부작
"첫, 사랑을 위하여",2025.08.04,2025.09.09,종영,,16부작
화려한 날들,2025.08.09,,방영중,13.50%,50부작
금쪽같은 내 스타,2025.08.18,2025.09.23,종영,,12부작
버터플라이,2025.08.22,2025.09.06,종영,1.90%,6부작
트웰브,2025.08.23,2025.09.14,종영,4.10%,8부작
폭군의 셰프,2025.08.23,2025.09.28,종영,12.00%,12부작
마이 유스,2025.09.05,2025.10.17,종영,,12부작
사마귀 : 살인자의 외출,2025.09.05,2025.09.27,종영,,
컨피던스맨 KR,2025.09.06,2025.10.12,종영,,12부작
백번의 추억,2025.09.13,2025.10.19,종영,,12부작
신사장 프로젝트,2025.09.15,2025.10.28,방영중,,12부작
달까지 가자,2025.09.19,2025.10.25,방영중,2.00%,12부작
은수 좋은 날,2025.09.20,2025.10.26,방영중,3.80%,12부작
친밀한 리플리,2025.09.22,,방영중,7.70%,100부작
퍼스트레이디,2025.09.24,2025.10.30,방영중,,12부작
착한 여자 부세미,2025.09.29,2025.11.04,방영중,,12부작
우주메리미,2025.10.10,2025.11.15,방영중,,12부작
태풍상사,2025.10.11,2025.11.30,방영중,7.10%,16부작
마리와 별난 아빠들,2025.10.13,,방영중,9.10%,8부작
서울 자가에 대기업 다니는 김 부장 이야기,2025.10.25,2025.11.30,방송 예정,,12부작
이 강에는 달이 흐른다,2025.10.31,2025.12.13,방송 예정,,14부작
마지막 썸머,2025.11.01,,방송 예정,,12부작
얄미운 사랑,2025.11.03,,방송 예정,,16부작
다음 생은 없으니까,2025.11.10,,방송 예정,,12부작
키스는 괜히 해서!,2025.11.12,,방송 예정,,14부작
UDT: 우리동네 특공대,2025.11.17,,방송 예정,,
모범택시 3,2025.11.21,,방송 예정,,16부작
러브 미 (드라마),2025.12.05,,방송 예정,,12부작
경도를 기다리며,2025.12.06,,방송 예정,,12부작
프로보노,2025.12.06,,방송 예정,,12부작
첫 번째 남자,2025.12.08,,방송 예정,,120부작
판사 이한영,2025.12.19,,방송 예정,,14부작
아이돌아이,2025.12.22,,방송 예정,,12부작
로드 오브 머니,2025,,,,
어디가요? 인기가요!,2025,,,,12부작
너 없이 못살아,2025,,,,20부작
데스페라도,2025,,,,
코리언즈,2025,,,,
