title,page_url,image_url,saved_path,status,note
나의 완벽한 비서,https://namu.wiki/w/%EB%82%98%EC%9D%98%20%EC%99%84%EB%B2%BD%ED%95%9C%20%EB%B9%84%EC%84%9C,https://i.namu.wiki/i/pN1MaaZHJIr62PZ9Kt3B9_i5uclLO73EB8pf8J-Vjz1GfN38Afo5GWgPAb2EozlaMofA11Gp2UL5vIKxXsw0HUW9Xg7PtUoCU5o0_R-vP-6Dc4Wqzl36aWuDfAXxH4_SmCkaG7_X17UF-neGT3yHAw.webp,C:\Users\PC\Desktop\workspace\namu_images\나의 완벽한 비서.webp,OK,base_page
별들에게 물어봐,https://namu.wiki/w/%EB%B3%84%EB%93%A4%EC%97%90%EA%B2%8C%20%EB%AC%BC%EC%96%B4%EB%B4%90,https://i.namu.wiki/i/ZDzZtsek_m8_ni1wHzQ_Wr8587w5507YTrSRThduV2xn7NsFa6fSlBrMTlN6vyyDdW_3MZxOkSU9YCtI1CHEz3k-ZJapppnEIo1_kGJU3_BNxKQ0M7-4RFV1Yp6OdNxHV5DFpsb0tJMyhC3JDx8N9w.webp,C:\Users\PC\Desktop\workspace\namu_images\별들에게 물어봐.webp,OK,base_page
원경 .,https://namu.wiki/w/%EC%9B%90%EA%B2%BD%28%EB%93%9C%EB%9D%BC%EB%A7%88%29,https://i.namu.wiki/i/lubguseYmO3AKLQRak25YXB3OnxvlNIFzQLQaY9rqH142AEFPGfxgwihD9msGBONM6cos0ug1MTaJ8EBSrdbBxTeFK0PTqQ7kfmla4Rt8CR_yFpFag34jldBJwtHoZIk-CsH3YJBR-oLQaaXWH22Cg.webp,C:\Users\PC\Desktop\workspace\namu_images\원경 ..webp,OK,drama:exact
모텔 캘리포니아,https://namu.wiki/w/%EB%AA%A8%ED%85%94%20%EC%BA%98%EB%A6%AC%ED%8F%AC%EB%8B%88%EC%95%84,https://i.namu.wiki/i/mR9J97RuEXi6zHgGU03roY_Bu8qJ6LUVvd2TYlgsC_EGlFsObLbOUivmGl0ZeU8WofpxBgLMbf7JRF58id-YqqgiQ_7FV61srl7GVqcuKOxljnK1jDhbbQHUt9WLB2pykNlDVsCLXNS1bWEbiIWvZw.webp,C:\Users\PC\Desktop\workspace\namu_images\모텔 캘리포니아.webp,OK,base_page
독수리 5형제를 부탁해!,https://namu.wiki/w/%EB%8F%85%EC%88%98%EB%A6%AC%205%ED%98%95%EC%A0%9C%EB%A5%BC%20%EB%B6%80%ED%83%81%ED%95%B4%21,https://i.namu.wiki/i/3FeSjLHFpyya89Me9sWbJkLZkTcBJEmpxalK9hyT0pOfhsRwEGOkQ5oskwI30taE9DnMtH15bdKfivhOyWOJsOI7mVqddA26KANXBh1jwX3t6De9qdX1W7t8Z6VcvSkpUBpxbGmd2E-GB9nH-N51Nw.webp,C:\Users\PC\Desktop\workspace\namu_images\독수리 5형제를 부탁해!.webp,OK,base_page
킥킥킥킥,https://namu.wiki/w/%ED%82%A5%ED%82%A5%ED%82%A5%ED%82%A5,https://i.namu.wiki/i/uTf9VXBdyrJSNZtJ2ZeZZF-wDwlEsCpVlXO8nbHa7DqaeUXpmpRldVEcTSxAz6_EfISHFCVoO16Py1p61xAaCJ8xmtBu44P_JhMgvfO5o_JfnUb9f4YsLrC3zJBsjNpq-VBlYQyt6Xr0-b1ma4nI6g.webp,C:\Users\PC\Desktop\workspace\namu_images\킥킥킥킥.webp,OK,base_page
마녀,https://namu.wiki/w/%EB%A7%88%EB%85%80%28%EB%93%9C%EB%9D%BC%EB%A7%88%29,https://i.namu.wiki/i/dOdzRa5lA1JejSgY_Bfn8sOsQMAsXqmH5nHdJwmm3ECedBl_predN0cRj0ZTs8Pcv1M37U278UqEvySws__F5nmgfKaYhO_YepkWfysKBM1R-xd2a06VUOzpNDhFcx4d0J2JzrRxG7nP8VjVQfJbXg.webp,C:\Users\PC\Desktop\workspace\namu_images\마녀.webp,OK,drama:exact
그놈은 흑염룡,https://namu.wiki/w/%EA%B7%B8%EB%86%88%EC%9D%80%20%ED%9D%91%EC%97%BC%EB%A3%A1%28%EB%93%9C%EB%9D%BC%EB%A7%88%29,https://i.namu.wiki/i/VHzvZ3y2O0dDRGOJz7B13YuQfvOY4lvfeqTFG8Ww8ZtZXhEznU_Ijsrbnr_ezfys86QkpiS4ngBhSSKFvewDsA7RaZIXOTFI3tref7jhQV3XSlKYRXVfrpEOXd6OqfmyZ8w5vioxr2kFSaxZtk2-Dw.webp,C:\Users\PC\Desktop\workspace\namu_images\그놈은 흑염룡.webp,OK,drama:exact
언더커버 하이스쿨,https://namu.wiki/w/%EC%96%B8%EB%8D%94%EC%BB%A4%EB%B2%84%20%ED%95%98%EC%9D%B4%EC%8A%A4%EC%BF%A8,https://i.namu.wiki/i/kBZiEo-loLwpSWzbnT_c7lzSIG9tabCkYvTEajf-McDRcSGvA6ogHi1LRfdQDyYWm6GhvH4yN-RiHY8nI-h_6mXjFwUSw_luevXUdgSWGhkj3BHqwDyZ1kbfFoHXNj8vFAghp1fUvbOkgE7EipN5Fg.webp,C:\Users\PC\Desktop\workspace\namu_images\언더커버 하이스쿨.webp,OK,base_page
보물섬,https://namu.wiki/w/%EB%B3%B4%EB%AC%BC%EC%84%AC%28%EB%93%9C%EB%9D%BC%EB%A7%88%29,https://i.namu.wiki/i/TjtDqojRPW4HY_2NJKILcNNdmdJszMovUCdHWkd_w0k0JksJJ2SG0D5vYLBZ3xQX3IMl-JnhgRuYLbSV6hL3C0I94B8bpJngBhPS86aLB75wj2g_W_cMr9vHQUBRS1-K1GDR0IEQDe-uKdXBrVtmOQ.webp,C:\Users\PC\Desktop\workspace\namu_images\보물섬.webp,OK,drama:exact
