title,genre_name,channel_name
각시탈 (드라마),"판타지 액션 사극 드라마, 퓨전 사극",KBS 2TV
검은 태양,"액션, 블록버스터, 첩보",MBC TV
경성크리처 시즌2,"스릴러, 호러, 액션, 괴수",넷플릭스
경이로운 소문 (드라마),"액션, 판타지, 미스터리, 스릴러","OCN, 넷플릭스, tvN"
경이로운 소문 2: 카운터 펀치,"액션, 판타지, 미스터리, 스릴러",tvN
경이로운 소문 시리즈,,
굿캐스팅,"액션, 코미디, 로맨스",SBS
기생수: 더 그레이,"SF, 액션, 모험, 공포",넷플릭스
도적: 칼의 소리,"역사, 액션",넷플릭스
독고 리와인드,"청춘, 액션, 웹드라마",웨이브 (스트리밍 서비스)
루카: 더 비기닝,"범죄, 미스터리, 서스펜스",tvN
매드 독,"액션, 스릴러",KBS 2TV
메이드 인 코리아 (드라마),"시대극, 정치, 액션 스릴러",디즈니+
몸값 (드라마),,TVING
뫼비우스 : 검은 태양,"액션, 블록버스터, 첩보, 스핀오프",MBC
무림학교,드라마,KBS 2TV
무법 변호사,"법정물, 복수물, 액션, 드라마",tvN
무빙 (드라마),"액션, 초자연, 판타지",디즈니+
배가본드 (드라마),"범죄, 첩보, 액션, 재난, 멜로","SBS TV, 넷플릭스, WAVVE"
번외수사,"범죄, 액션",OCN
비질란테 (드라마),"범죄, 액션, 스릴러",디즈니+
사냥개들,"범죄, 액션",넷플릭스
삼총사 (2014년 대한민국 드라마),액션 시대극,tvN
샤크: 더 스톰,"하드보일드, 범죄, 액션, 드라마, 스릴러, 느와르, 복수",TVING
스위트홈 시즌 3,"공포, 스릴러, 다크 판타지, 괴수, 크리처, 재난, 액션, 느와르, 디스토피아",넷플릭스
스틸러 : 일곱 개의 조선통보,"코미디, 액션",tvN
아이쇼핑 (드라마),"액션, 범죄, 스릴러",ENA
아일랜드 (2022년 드라마),"공포, 액션, 판타지",티빙
약한영웅 Class 1,,
역적 : 백성을 훔친 도적,"사극, 액션, 멜로",MBC
오징어 게임,스릴러 드라마 생존,넷플릭스
오징어 게임 시즌 2,,넷플릭스
우씨왕후,"퓨전 사극, 액션",TVING
최강칠우,"퓨전 사극, 액션, 드라마",KBS 2TV
최종병기 앨리스,"액션, 로맨스",왓챠
카지노 (드라마),"범죄, 액션, 복수, 피카레스크",디즈니+
캐셔로,"드라마, SF, 액션, 모험, 슈퍼히어로",넷플릭스
킬러들의 쇼핑몰,"액션, 스릴러, 느와르, 드라마, 미스터리",디즈니+
킬러들의 쇼핑몰 시즌2,액션 스릴러 미스터리 느와르,디즈니+
탁류 (드라마),"사극, 액션",디즈니+
택배기사,"SF, 디스토피아, 액션",넷플릭스
통 메모리즈,"웹드라마, 액션","다음 tv팟, 웨이브 (스트리밍 서비스)"
트리거 (넷플릭스 드라마),"드라마, 블록버스터, 첩보, 액션, 범죄, 재난, 느와르, 스릴러, 사회 고발, 피카레스크",넷플릭스
트리거 (디즈니+ 드라마),"오피스 코미디, 액션 스릴러",디즈니+
파인: 촌뜨기들,"범죄, 드라마, 시대극, 미스터리, 피카레스크",디즈니+
폭군 (드라마),"액션, SF, 판타지",디즈니+
한강 (2023년 드라마),"액션, 코미디, 범죄, 느와르",디즈니+
혼돈의 사랑,,
화인가 스캔들,"액션, 로맨스, 드라마",디즈니+
