title,genre_name,channel_name
The 8 Show,"스릴러, 드라마, 블랙 코미디",넷플릭스
UDT: 우리동네 특공대,가족,ENA
고스트 닥터,드라마,tvN
구필수는 없다,"드라마, 휴먼, 가족",ENA
국회의원 정치성 실종사건,드라마,KBS 2TV
굿잡 (드라마),드라마,ENA
굿캐스팅,"액션, 코미디, 로맨스",SBS
글리치 (드라마),"코미디, 스릴러, 미스터리",넷플릭스
금쪽같은 내 스타,"로맨스, 코미디",ENA
기막힌 유산,드라마,KBS1
끝내주는 해결사,"로맨틱 코미디, 범죄, 액션, 가족",JTBC
내과 박원장,"의학, 코미디","TVING, tvN"
넉오프 (드라마),"블랙 코미디, 범죄 드라마",디즈니+
노무사 노무진,"코미디, 판타지, 드라마",MBC TV
놀아주는 여자,"로맨스, 코미디",JTBC
닥터 차정숙,"가족, 메디컬, 로맨스, 휴머니즘",JTBC
닭강정 (드라마),"코미디, 미스터리, 판타지",넷플릭스
당신의 맛,"로맨스, 코미디, 드라마",ENA
대도시의 사랑법,"창춘, 일상, 로맨스, 코미디, 퀴어",TVING
두 형사 (1994년 드라마),,SBS
라켓소년단,스포츠 드라마,SBS TV
러블리 호러블리,"로맨스, 코미디",KBS 2TV
리갈 하이 (2019년 드라마),"법정, 코미디",JTBC
마스크걸,"스릴러, 드라마",넷플릭스
멜로가 체질,"멜로, 로맨스, 드라마",JTBC
무적의 낙하산 요원,"드라마, 코미디",SBS
밤에 피는 꽃,"사극, 코미디, 액션",MBC
보건교사 안은영,드라마,넷플릭스
봄이 오나 봄,드라마,MBC TV
빈센조 (드라마),"범죄, 블랙 코미디, 드라마, 스릴러, 로맨스",tvN
사랑은 못말려,코미디 드라마,KBS 2TV
사랑하길 잘했어,"드라마, 코미디, 멜로",KBS 2TV
살롱 드 홈즈,"코미디, 범죄",ENA
살인자의 쇼핑목록,"범죄, 코미디",tvN
수상한 그녀 (드라마),"코미디, 드라마",KBS 2TV
슈룹,"사극, 드라마, 코미디",tvN
스틸러 : 일곱 개의 조선통보,"코미디, 액션",tvN
신병 (드라마),"군대, 코미디, 복수, 멜로, 막장 드라마","ENA, 올레 TV, Seezn"
신병 시즌 2,"블랙 코미디, 밀리터리","ENA, Genie TV"
신병 시즌 3,"블랙 코미디, 밀리터리, 사회고발",ENA
쌉니다 천리마마트 (드라마),드라마,tvN
애마,"시대극, 코미디",넷플릭스
여자 대 여자,주간 시추에이션 코미디 드라마(시트콤 & 코미디 드라마),MBC
열혈사제,"경찰, 액션, 블랙 코미디, 서스펜스",SBS
열혈사제 Part Ⅱ,"블랙 코미디, 범죄, 액션, 복수",SBS
위기의 X,드라마,"Wavve, mbc"
이벤트를 확인하세요,"로맨스, 코미디",MBC TV
이상한 변호사 우영우,"드라마, 로맨스, 코미디",ENA
작은 아씨들 (2022년 드라마),"미스테리, 드라마, 가족",tvN
재벌X형사,"범죄, 액션, 스릴러, 느와르, 코미디, 드라마",SBS TV
좀비탐정,"액션, 스릴러, 판타지, 느와르, 코믹, 모험, 낭만, 좀비, 공포",KBS 2TV
차달래 부인의 사랑,"가족, 드라마, 코미디",KBS 2TV
착한 여자 부세미,"범죄, 로맨스",ENA
철인왕후 (드라마),"사극, 로맨스, 코미디",tvN
최고의 이혼 (2018년 드라마),드라마,KBS2
크래시 (드라마),"액션, 범죄, 드라마",ENA
트리거 (디즈니+ 드라마),"오피스 코미디, 액션 스릴러",디즈니+
한강 (2023년 드라마),"액션, 코미디, 범죄, 느와르",디즈니+
형사5,,
힙하게,"판타지, 로맨틱 코미디, 추리, 수사, 범죄, 미스터리, 느와르, 액션, 스릴러",JTBC
