title,genre_name,channel_name
38사기동대,드라마,OCN
"60일, 지정생존자","범죄, 서스펜스, 법률, 정치",tvN
7인의 부활,"스릴러, 액션, 범죄, 느와르, 미스터리, 피카레스크, 공포, 멜로, 드라마, 코미디",SBS TV
7인의 탈출,"범죄, 액션, 스릴러, 미스터리, 피카레스크",SBS TV
갑동이,범죄,tvN
경찰특공대 (드라마),"범죄, 드라마",SBS TV
골든크로스,미스터리 서스펜스 범죄,KBS 2TV
구경이,"스릴러, 범죄, 코미디, 느와르",JTBC
구해줘 (드라마),"범죄, 스릴러",OCN
구해줘 2,"범죄, 스릴러",OCN
국민 여러분!,"범죄, 코미디",KBS 2TV
귀신 보는 형사 처용,범죄,OCN
귀신 보는 형사 처용 2,범죄,OCN
나쁜 녀석들 (드라마),"범죄, 스릴러, 액션",OCN
나쁜 형사,"범죄, 수사, 서스펜스",MBC TV
나인 퍼즐,"범죄, 스릴러, 미스터리",디즈니+
내 손을 잡아,드라마,MBC
너를 기억해,"스릴러, 로맨틱 코미디",KBS 2TV
너를 노린다,드라마,SBS
넉오프 (드라마),"블랙 코미디, 범죄 드라마",디즈니+
닥터 프리즈너,"범죄, 메디컬, 서스펜스",KBS 2TV
당신이 죽였다,"범죄, 미스터리, 스릴러",넷플릭스
더 게임: 0시를 향하여,"미스터리, 범죄, 수사",MBC
더 킹 : 영원의 군주,"판타지, 로맨스, 범죄, 시대극","SBS, 넷플릭스"
도롱뇽도사와 그림자 조작단,시트콤,SBS
도망자 이두용,드라마,KBS 2TV
도망자 플랜 B,첩보 액션 코미디 드라마,KBS 2TV
돈의 화신,"코미디, 범죄",SBS
듀얼 (드라마),범죄,OCN
레버리지: 사기조작단,"범죄, 스릴러",TV CHOSUN
리멤버 - 아들의 전쟁,"법정물, 서스펜스",SBS
리턴 (드라마),"범죄, 서스펜스",SBS
모범가족,"범죄, 드라마, 스릴러",넷플릭스
모범택시 (드라마),"범죄, 액션, 복수",SBS TV
모범택시 2,"범죄, 액션, 스릴러, 느와르, 블랙 코미디, 미스터리, 복수, 첩보",SBS TV
모범형사,"범죄, 수사",JTBC
모범형사 2,"범죄, 수사",JTBC
몸값 (드라마),,TVING
미끼 (드라마),"미스터리, 범죄, 스릴러",
미세스 캅,"수사물, 범죄, 서스펜스",SBS
미세스 캅 2,"수사물, 범죄, 서스펜스",SBS
미스터 기간제,"추리, 범죄, 스릴러",OCN
바벨 (드라마),"범죄, 미스터리, 멜로",TV CHOSUN
밤이면 밤마다 (드라마),드라마,MBC TV
배가본드 (드라마),"범죄, 첩보, 액션, 재난, 멜로","SBS TV, 넷플릭스, WAVVE"
뱀파이어 검사,드라마,OCN
뱀파이어 검사 2,드라마,OCN
번외수사,"범죄, 액션",OCN
보이스 (드라마),범죄,OCN
보이스 2,범죄,OCN
보이스 3,범죄,OCN
보이스 4,범죄,tvN
본 대로 말하라,드라마,OCN
블랙 (드라마),"범죄, 미스터리",OCN
비밀의 숲,"드라마, 스릴러, 범죄",tvN
비밀의 숲 2,"스릴러, 범죄",tvN
비질란테 (드라마),"범죄, 액션, 스릴러",디즈니+
빈센조 (드라마),"범죄, 블랙 코미디, 드라마, 스릴러, 로맨스",tvN
사냥개들,"범죄, 액션",넷플릭스
사생활 (드라마),드라마,JTBC
살인자ㅇ난감,범죄 스릴러,넷플릭스
살인자의 쇼핑목록,"범죄, 코미디",tvN
선산 (드라마),"미스터리, 스릴러, 범죄, 공포, 오컬트, 서스펜스",넷플릭스
수리남 (드라마),"범죄, 스릴러, 액션, 느와르, 드라마",넷플릭스
수사반장,범죄실화극·드라마,MBC TV
수사반장 1958,"범죄, 누아르, 코미디, 액션, 드라마, 시대극",MBC TV
