title,genre_name,channel_name
18 어게인,"판타지, 드라마",JTBC
365: 운명을 거스르는 1년,"판타지, 미스터리, 스릴러",MBC TV
4일 간의 사랑,판타지 드라마,MBC
경이로운 소문 (드라마),"액션, 판타지, 미스터리, 스릴러","OCN, 넷플릭스, tvN"
경이로운 소문 2: 카운터 펀치,"액션, 판타지, 미스터리, 스릴러",tvN
경이로운 소문 시리즈,판타지,
계룡선녀전 (드라마),"판타지, 드라마",tvN
고스트 닥터,"판타지, 드라마",tvN
구가의 서,"시대극, 판타지, 로맨스, 드라마",MBC
구르미 그린 달빛 (드라마),"판타지, 드라마, 사극",KBS2
그놈이 그놈이다,판타지 로코 드라마,KBS 2TV
날 녹여주오,"판타지, 드라마",tvN
낮에 뜨는 달,"판타지, 로맨스, 드라마",ENA
내일 그대와,"판타지, 멜로, 로맨스, 드라마",tvN
너도 인간이니?,"판타지, 로맨스, SF",KBS 2TV
너의 시간 속으로,"판타지, 로맨스",넷플릭스
다 이루어질지니,"판타지, 로맨틱 코미디",넷플릭스
당신이 잠든 사이에 (2017년 드라마),"판타지, 로맨스, 드라마",SBS
대박부동산,"코믹, 스릴러, 판타지, 엑소시즘",KBS 2TV
더 킹 : 영원의 군주,"판타지, 로맨스, 범죄, 시대극","SBS, 넷플릭스"
W (드라마),"판타지, 드라마",MBC
두뇌공조,"판타지, 코미디, 액션, 범죄, 드라마",KBS 2TV
레전드히어로 삼국전,"판타지, 로봇/액션 마법/특촬물",EBS 1TV
로스타임 라이프 : 더 라스트 찬스,"판타지, 드라마",MBN
멈추고 싶은 순간 : 어바웃 타임,"판타지, 드라마",tvN
명불허전 (드라마),"판타지, 드라마, 의학, 로맨스",tvN
무빙 (드라마),"액션, 초자연, 판타지",디즈니+
미씽: 그들이 있었다,"미스터리, 판타지",OCN
반지의 여왕,판타지,MBC
보건교사 안은영,"판타지, 드라마",넷플릭스
봄이 오나 봄,"판타지, 드라마",MBC TV
"사임당, 빛의 일기","판타지, 서사, 로맨스, 드라마, 사극",SBS
사장님의 식단표,"로맨틱 코미디, 판타지, 빙의물",TVING
생동성 연애,판타지 로맨스,MBC
선녀가 필요해,"판타지, 드라마 · 시트콤",KBS 2TV
세가지색 판타지,"판타지, 드라마",MBC
시간이 멈추는 그때,판타지 로맨스 드라마,KBS W
시그널 (드라마),"판타지, 범죄, 미스터리, 스릴러",tvN
시지프스 : the myth,"SF, 판타지, 미스터리, 로맨스",JTBC
시크릿 가든 (드라마),판타지 로코 드라마,SBS
"신비아파트 외전: 기억, 하리","판타지, TV 드라마, 호러, 로맨스",투니버스
"신비아파트 외전: 기억, 하리 2","판타지, TV 드라마, 호러, 로맨스","투니버스, 대교어린이TV"
신의 선물 - 14일,판타지 미스터리 서스펜스 범죄,SBS
싸우자 귀신아 (드라마),"판타지, 드라마",tvN
쓸쓸하고 찬란하神 - 도깨비,"판타지, 로맨스, 코미디, 드라마",tvN
아일랜드 (2022년 드라마),"공포, 액션, 판타지",티빙
안나라수마나라 (드라마),"판타지, 뮤지컬, 드라마",넷플릭스
앨리스 (드라마),판타지 드라마,SBS TV
야한(夜限) 사진관,"판타지, 로맨스, 드라마",ENA
우리가 만난 기적,"힐링, 판타지, 멜로, 가족, 로맨스",KBS 2TV
우주의 별이,판타지,"MBC, 네이버TV"
울랄라 부부,"판타지, 가족 드라마",KBS 2TV
재벌집 막내아들,"판타지, 드라마",JTBC
"지금부터, 쇼타임!","판타지, 범죄, 코미디",MBC TV
지옥 (드라마),"공포, 스릴러, 판타지",넷플릭스
지옥에서 온 판사,"서스펜스, 느와르, 막장, 판타지, 액션, 범죄, 스릴러, 복수, 미스터리, 피카레스크, 블랙코미디",SBS TV
천국보다 아름다운 (드라마),"판타지, 드라마, 로맨스, 코미디, 성장",JTBC
커넥션 (드라마),"판타지, 범죄, 느와르, 피카레스크, 서스펜스, 스릴러, 미스터리, 공포",SBS TV
커넥트 (드라마),"판타지, 미스터리, 스릴러, 공포",디즈니+
커피야 부탁해,"판타지, 로맨스, 코미디",채널A
키스 식스 센스,"로맨스, 판타지",디즈니+
킹덤 (2019년 드라마),"좀비, 공포, 스릴러, 판타지",넷플릭스
타임테이블 (드라마),"판타지, 웹드라마",유튜브
탑 매니지먼트 (웹드라마),"로맨스, 드라마, 판타지",유튜브 프리미엄
투깝스,"판타지, 수사물, 로맨스, 범죄",MBC
폭군 (드라마),"액션, SF, 판타지",디즈니+
퐁당퐁당 Love,"판타지, 드라마","MBC, 네이버 TV캐스트"
하백의 신부 2017,"판타지, 드라마",tvN
"하이바이, 마마!",휴먼 판타지 드라마,tvN
허식당,"타임슬립, 판타지, 로맨틱 코미디","Wavve, 넷플릭스"
호텔 델루나,"드라마, 판타지, 호러, 로맨스",tvN
환상연가 (드라마),"판타지, 로맨스, 사극",KBS 2TV
환혼,"사극, 로맨스, 액션, 판타지",tvN
환혼 빛과 그림자,"사극, 로맨스, 액션, 판타지",tvN
힘쎈여자 도봉순,"판타지, 로맨스, 코미디, 범죄, 드라마",JTBC
힙하게,"판타지, 로맨틱 코미디, 추리, 수사, 범죄, 미스터리, 느와르, 액션, 스릴러",JTBC
