title,genre_name,channel_name
2008 전설의 고향,공포 사극,KBS 2TV
고스트 (드라마),"공포, 드라마",SBS
기생수: 더 그레이,"SF, 액션, 모험, 공포",넷플릭스
스위트홈 시즌 3,"공포, 스릴러, 다크 판타지, 괴수, 크리처, 재난, 액션, 느와르, 디스토피아",넷플릭스
싸우자 귀신아 (드라마),"공포, 드라마",tvN
M (드라마),"공포, 드라마",MBC
오늘의 탐정,"공포, 범죄, 서스펜스, 스릴러",KBS 2TV
오징어 게임,"공포, 스릴러 드라마 생존",넷플릭스
오징어 게임 시즌 2,공포,넷플릭스
전설의 고향,공포,
전설의 고향 - 1996년,"공포, 드라마",KBS 2TV
전설의 고향 - 1997년,"공포, 드라마",KBS 2TV
전설의 고향 - 1998년,"공포, 드라마",KBS 2TV
전설의 고향 - 1999년,공포,KBS 2TV
조명가게,"공포, 미스터리",디즈니+
좀비탐정,"액션, 스릴러, 판타지, 느와르, 코믹, 모험, 낭만, 좀비, 공포",KBS 2TV
지금 우리 학교는 (드라마),"좀비, 공포, 스릴러",넷플릭스
지리산 (2021년 드라마),"공포, 재난, 미스터리, 스릴러",tvN
혼 (드라마),"공포, 영화, 범죄, 서스펜스",MBC TV
