title,genre_name,channel_name
365: 운명을 거스르는 1년,"판타지, 미스터리, 스릴러",MBC TV
가면의 여왕,"로맨스, 미스터리",채널A
경이로운 소문 (드라마),"액션, 판타지, 미스터리, 스릴러","OCN, 넷플릭스, tvN"
경이로운 소문 2: 카운터 펀치,"액션, 판타지, 미스터리, 스릴러",tvN
경이로운 소문 시리즈,미스터리,
공작도시,"미스터리, 심리, 스릴러, 로맨스","JTBC, KBS 2TV"
그리드 (드라마),"미스터리, 스릴러, SF, 액션",디즈니+
글리치 (드라마),"코미디, 스릴러, 미스터리",넷플릭스
나인 퍼즐,"범죄, 스릴러, 미스터리",디즈니+
낮과 밤 (드라마),"범죄, 미스터리, 서스펜스",tvN
닭강정 (드라마),"코미디, 미스터리, 판타지",넷플릭스
당신이 죽였다,"범죄, 미스터리, 스릴러",넷플릭스
더 게임: 0시를 향하여,"미스터리, 범죄, 수사",MBC
마녀 (드라마),"미스터리, 로맨스","채널A, 라이프타임"
미끼 (드라마),"미스터리, 범죄, 스릴러",
미씽: 그들이 있었다,"미스터리, 판타지",OCN
방법 (드라마),미스터리 스릴러,tvN
변론을 시작하겠습니다,"법정, 미스터리, 드라마",Disney+
본 어게인 (드라마),미스터리 멜로,KBS 2TV
선산 (드라마),"미스터리, 스릴러, 범죄, 공포, 오컬트, 서스펜스",넷플릭스
셀러브리티 (드라마),미스터리,넷플릭스
시지프스 : the myth,"SF, 판타지, 미스터리, 로맨스",JTBC
싸우자 귀신아 (드라마),"미스터리, 드라마",tvN
써치 (드라마),"미스터리, 밀리터리 스릴러",OCN
써클: 이어진 두 세계,"미스터리, SF",tvN
아무도 모른다 (드라마),"범죄, 미스터리, 서스펜스, 감성",SBS TV
아무도 없는 숲속에서,"미스터리, 스릴러, 서스펜스",넷플릭스
안나 (드라마),"심리 스릴러, 미스터리",쿠팡플레이
완벽한 가족 (드라마),"범죄, 스릴러, 미스터리, 가족",KBS 2TV
우아한 모녀,"미스터리, 복수, 멜로, 피카레스크",KBS 2TV
자백의 대가,"미스터리, 스릴러",넷플릭스
조명가게,"공포, 미스터리",디즈니+
치얼업 (드라마),"로맨틱 코미디, 미스터리, 청춘, 대학",SBS TV
카이로스 (드라마),"미스터리, SF, 판타지, 스릴러",MBC
커넥션 (드라마),"범죄, 느와르, 피카레스크, 서스펜스, 스릴러, 미스터리, 공포",SBS TV
커넥트 (드라마),"미스터리, 스릴러, 공포",디즈니+
킬러들의 쇼핑몰 시즌2,액션 스릴러 미스터리 느와르,디즈니+
탄금,"로맨스, 미스터리, 사극",넷플릭스
트렁크 (드라마),"로맨스, 미스터리, 드라마",넷플릭스
트레인 (드라마),"미스터리, 스릴러",OCN
트롤리 (드라마),"멜로, 미스터리",SBS TV
페이스 미,"드라마, 미스터리",KBS 2TV
