title,genre_name,channel_name
3인칭 복수,"로맨스, 복수, 스릴러",디즈니+
가을동화,"로맨스, 가족",KBS
개와 마녀와 나,로맨스,
개인주의자 지영씨,"로맨스, 드라마",KBS 2TV
거짓말의 거짓말,"로맨스, 가족, 스릴러",채널A
겨울연가,"로맨스, 멜로, 휴머니즘",KBS 2TV
결혼 못하는 남자 (2009년 드라마),"드라마, 로맨스, 코미디",KBS 2TV
결혼 이야기 (2002년 드라마),"로맨스, 드라마",KBS 2TV
결혼하고 싶은 여자,"로맨스, 드라마",MBC
고호의 별이 빛나는 밤에,"로맨스, 로맨틱, 코미디",소후티비
공주의 남자,"사극, 로맨스, 액션",KBS 2TV
공항 가는 길,"로맨스, 드라마",KBS2
구가의 서,"시대극, 판타지, 로맨스, 드라마",MBC
구르미 그린 달빛 (드라마),"로맨스, 드라마, 사극",KBS2
구름계단 (2006년 드라마),"로맨스, 드라마",KBS 2TV
굿바이 솔로,"로맨스, 휴머니즘",KBS 2TV
궁 (드라마),"로맨스, 판타지 로코 드라마",문화방송
그 남자의 기억법,"로맨스, 휴먼, 멜로",MBC TV
그남자 오수,로맨스,OCN
그녀는 거짓말을 너무 사랑해 (드라마),"음악, 청춘, 로맨스",tvN
그라운드 제로 (드라마),"로맨스, 드라마",MBC TV
그린마더스 클럽,"드라마, 로맨스",JTBC
그저 바라보다가,로맨스 코미디,KBS 2TV
기름진 멜로,"로맨스, 요리",SBS
기막힌 유산,"로맨스, 드라마",KBS1
끝에서 두번째 사랑,로맨스,SBS TV
나미브 (드라마),"로맨스, 드라마",ENA
나의 해리에게,로맨스,ENA
난폭한 로맨스,"로맨스, 코미디",KBS 2TV
남자가 사랑할 때 (2013년 드라마),"로맨스, 드라마",MBC
남자친구 (드라마),"로맨스, 드라마",tvN
남주서치,로맨스,Wavve
낮에 뜨는 달,"로맨스, 드라마",ENA
"내 딸, 금사월","막장, 로맨스",MBC
내 마음이 들리니,"드라마, 로맨스, 막장, 휴머니즘",MBC TV
내 사랑 유미,"로맨스, 드라마",KBS 2TV
내가 죽기 일주일 전,"판타지, 로맨스, 청춘",TVING
내일 그대와,"판타지, 멜로, 로맨스, 드라마",tvN
너도 인간이니?,"판타지, 로맨스, SF",KBS 2TV
너를 닮은 사람,"로맨스, 미스터리, 스릴러, 하드보일드, 느와르, 피카레스크","JTBC, KBS 2TV"
너와 나의 경찰수업,"성장, 로맨스, 드라마",디즈니+
너의 시간 속으로,"판타지, 로맨스",넷플릭스
넌 어느 별에서 왔니,"로맨스, 멜로, 드라마",MBC TV
노란 손수건 (2003년 드라마),"로맨스, 가족",KBS 1TV
늑대 (드라마),"로맨스, 드라마",문화방송
다시 만난 세계 (드라마),"판타지, 로맨스, 드라마",SBS
"다시, 첫사랑","멜로, 로맨스",KBS 2TV
닥터스 (드라마),"메디컬, 휴머니즘, 로맨스",SBS
달의 연인 - 보보경심 려,"퓨전 사극, 판타지, 청춘, 로맨스",SBS
달자의 봄,"로맨스, 로맨틱 코미디",KBS 2TV
당신 참 예쁘다,"로맨스, 드라마",MBC TV
당신이 잠든 사이에 (2017년 드라마),"판타지, 로맨스, 드라마",SBS
대군 - 사랑을 그리다,"로맨스, 사극",TV 조선
더 킹 : 영원의 군주,"판타지, 로맨스, 범죄, 시대극","SBS, 넷플릭스"
