title,genre_name,channel_name
Mr. 플랑크톤,로맨틱 코미디,넷플릭스
가족X멜로,"로맨틱 코미디, 가족,오피스",JTBC
감자연구소,"로맨틱 코미디, 로맨스, 코미디",tvN
견우와 선녀 (드라마),"로맨틱 코미디, 로맨스, 판타지",tvN
경우의 수 (드라마),로맨틱 코미디,JTBC
구미호뎐,판타지 액션 로맨틱 코미디,tvN
그 해 우리는,"로맨틱 코미디, 로맨스",SBS
그녀는 예뻤다 (대한민국의 드라마),"로맨틱 코미디, 판타지 로코 드라마",MBC
그놈은 흑염룡 (드라마),"로맨틱 코미디, 오피스","tvN, TVING"
그래서 나는 안티팬과 결혼했다,로맨틱 코미디,
금주를 부탁해,"로맨틱 코미디, 로맨스, 코미디",tvN
기상청 사람들: 사내연애 잔혹사 편,"로맨틱 코미디, 오피스","JTBC, 넷플릭스"
김비서가 왜 그럴까,"로맨틱 코미디, 오피스. 가족",tvN
꽃보다 남자 (대한민국의 드라마),"로맨틱 코미디, 학원, 가족",KBS 2TV
나는 대놓고 신데렐라를 꿈꾼다,"로맨틱 코미디, 오피스, 가족",TVING
나의 완벽한 비서,"로맨틱 코미디, 오피스, 가족, 성장, 휴먼",SBS TV
내 남편과 결혼해줘,"로맨틱 코미디, 로맨스, 드라마, 가족","tvN, TVING"
다 이루어질지니,"판타지, 로맨틱 코미디",넷플릭스
다리미 패밀리,"로맨틱 코미디, 가족, 로맨스, 코미디, 드라마",KBS 2TV
닥터 슬럼프 (드라마),"로맨틱 코미디, 로맨스, 코미디, 드라마, 가족",JTBC
달까지 가자 (드라마),"오피스, 가족, 휴먼, 로맨틱 코미디",MBC TV
대도시의 사랑법,"로맨틱 코미디, 창춘, 일상, 로맨스, 코미디, 퀴어",TVING
더 패뷸러스,로맨틱 코미디,넷플릭스
독수리 5형제를 부탁해!,"로맨틱 코미디, 가족, 주류, 멜로, 로맨스, 코미디, 드라마",KBS 2TV
또! 오해영,"로맨틱 코미디, 판타지, 오피스.",tvN
마이데몬,"로맨틱 코미디, 판타지, 스릴러, 가족",SBS TV
모래에도 꽃이 핀다,"로맨틱 코미디, 드라마, 로맨스, 코미디",ENA
미녀와 순정남,"로맨틱 코미디, 가족",KBS 2TV
미녀의 탄생,"로맨틱 코미디, 로맨스","SBS TV, SBSHD, 디지털 텔레비전, SBS, 아날로그 텔레비전"
반짝이는 워터멜론,"로맨틱 코미디, 드라마, 판타지, 로맨스, 코미디, 가족","tvN, TVING"
밥을 태우는 여자,"로맨틱 코미디, 가족, 로맨스, 코미디",KBS 2TV
별들에게 물어봐,"로맨틱 코미디, 로맨스, 코미디, 드라마, SF",tvN
별에서 온 그대,"로맨틱 코미디, 공상과학, 로맨스",SBS TV
빅 (드라마),"로맨틱 코미디, 판타지 로코 드라마",KBS 2TV
사내맞선,"로맨틱 코미디, 로맨스, 코미디",SBS TV
사랑은 뷰티풀 인생은 원더풀,"로맨틱 코미디, 드라마",KBS2
사랑은 외나무다리에서,"로맨틱 코미디, 학원, 가족",tvN
사랑의 불시착,로맨틱 드라마로맨틱 코미디,tvN
사장님의 식단표,"로맨틱 코미디, 판타지, 빙의물",TVING
서른이지만 열일곱입니다,"로맨틱 코미디, 휴먼, 성장",SBS TV
선재 업고 튀어,"로맨틱 코미디, 가족, 판타지, 청춘, 힐링, 스릴러",tvN
성스러운 아이돌,"로맨틱 코미디, 판타지, 음악",tvN
세자가 사라졌다,"로맨틱 코미디, 사극, 로맨스, 코미디, 드라마",MBN
손해 보기 싫어서,"로맨틱 코미디, 가족, 오피스",tvN
시카고 타자기 (드라마),"로맨틱 코미디, 드라마, 로맨스, 판타지",tvN
신사와 아가씨,"로맨틱 코미디, 가족, 막장, 멜로, 로맨스, 코미디, 드라마",KBS 2TV
싸우자 귀신아 (드라마),"로맨틱 코미디, 드라마",tvN
쌈 마이웨이,"로맨틱 코미디, 청춘, 성장, 가족, 휴먼, 일상, 힐링",KBS 2TV
안녕? 나야!,"로맨틱 코미디, 판타지, 로코, 성장, 드라마",KBS 2TV
앙큼한 돌싱녀,로맨틱 코미디,MBC
야식남녀,로맨틱 코미디,JTBC
어느 날 우리 집 현관으로 멸망이 들어왔다,"로맨틱 코미디, 판타지, 가족, 스릴러",tvN
언더커버 하이스쿨,"로맨틱 코미디, 범죄, 수사, 액션, 학교, 로맨틱, 코미디",MBC TV
엄마친구아들 (드라마),"로맨틱 코미디, 가족",tvN
여신강림 (드라마),"로맨틱 코미디, 드라마, 로맨스, 코미디",tvN
연애는 귀찮지만 외로운 건 싫어!,로맨틱 코미디,"MBC every1, MBC"
연애대전,로맨틱 코미디,넷플릭스
연예인 매니저로 살아남기 (대한민국의 드라마),"로맨틱 코미디, 오피스",tvN
열녀박씨 계약결혼뎐,"로맨틱 코미디, 로맨스, 코미디, 판타지, 가족",MBC TV
오늘도 사랑스럽개 (드라마),"로맨틱 코미디, 판타지",MBC
오늘도 지송합니다,"로맨틱 코미디, 일상",KBS joy
"우리, 사랑했을까","로맨틱 코미디, 로맨스",JTBC
우연일까?,"로맨틱 코미디, 학원",tvN
우주메리미,"로맨틱 코미디, 가족, 오피스",SBS TV
웨딩 임파서블,"로맨틱 코미디, 가족",tvN
유별나! 문셰프,"로맨틱 코미디, 드라마",채널A
이 사랑 통역 되나요?,로맨틱 코미디,Netflix
이 연애는 불가항력,"로맨틱 코미디, 판타지, 오피스, 스릴러",JTBC
이혼 보험,"로맨틱 코미디, 오피스",tvN
절대 그이 (드라마),"로맨틱 코미디, 판타지 로코 드라마",SBS
제발 그 남자 만나지 마요,로맨틱 코미디,MBC every1
조립식 가족,"로맨틱 코미디, 가족, 성장, 휴먼, 힐링",JTBC
조선로코-녹두전,"로맨틱 코미디, 가상역사극",KBS 2TV
좋아하면 울리는,"로맨틱 코미디, 로맨스",넷플릭스
진짜가 나타났다!,"로맨틱 코미디, 가족, 드라마, 로맨스, 코미디",KBS 2TV
"첫, 사랑을 위하여","로맨틱 코미디, 로맨스, 가족, 드라마",tvN
최고의 사랑,"로맨틱 코미디, 드라마",MBC
출사표 (드라마),로맨틱 코미디,KBS 2TV
치얼업 (드라마),"로맨틱 코미디, 미스터리, 청춘, 대학",SBS TV
7급 공무원 (드라마),"로맨틱 코미디, 첩보 로맨스 드라마",MBC
