title,genre_name,channel_name
17세의 조건,"학교, 청춘 드라마",SBS
감성세대,"학교, 드라마",한국교육방송공사
경찰수업,"학교, 캠퍼스, 형사물, 코믹",KBS 2TV
공부의 신,"학교, 교육 드라마",KBS 2TV
꽃보다 남자 (대한민국의 드라마),"학교, 로맨틱 코미디, 학원, 가족",KBS 2TV
나 (드라마),"학교, 청춘 드라마",문화방송
내일 (1998년 드라마),"학교, 드라마",한국교육방송공사
너를 노린다,"학교, 드라마",SBS
넌 내게 반했어,"학교, 드라마",MBC
네 꿈을 펼쳐라,"학교, 드라마",한국교육방송공사
달려라 고등어,"학교, 시트콤",SBS
두근두근 체인지,"학교, 시트콤",문화방송
드림하이,"학교, 드라마",KBS 2TV
드림하이 2,"학교, 뮤지컬, 코미디, 로맨스",KBS 2TV
땐뽀걸즈 (드라마),"학교, 청춘, 성장, 휴먼, 드라마",KBS 2TV
또래와 뚜리,"학교, 어린이",MBC
마술학교,"학교, 드라마",JTBC
맥랑시대,"학교, 드라마",본문 참조
못난이 송편,"학교, 드라마",MBC
무림학교,"학교, 드라마",KBS 2TV
미미쿠스,"학교, 하이틴 드라마",네이버 나우
미스터리 신입생,"학교, 드라마",SBS
반지의 여왕,"학교, 판타지",MBC
반짝반짝 작은 별 (2016년 드라마),"학교, 드라마",KBS 1TV
발칙하게 고고,"학교, 교육 드라마",KBS 2TV
베이비시터 (드라마),"학교, 드라마",KBS 2TV
복수가 돌아왔다,"학교, 학원 로맨스, 코미디, 복수, 사학비리",SBS
비밀의 교정,"학교, 청소년, 미스터리",EBS 1TV
사랑은 외나무다리에서,"학교, 로맨틱 코미디, 학원, 가족",tvN
상속자들,"학교, 하이틴 로코 드라마",SBS
성균관 스캔들,"학교, 청춘 사극 드라마",KBS 2TV
성장드라마 반올림,"학교, 드라마",KBS 2TV
성장드라마 반올림의 에피소드 목록,학교,
솔로몬의 위증 (드라마),"학교, 드라마",JTBC
아름다운 그대에게 (드라마),"학교, 학원물, 청춘, 로맨스",SBS TV
아름다운 세상 (드라마),"학교, 드라마",JTBC
아이 엠 샘 (드라마),"학교, 로맨스, 코미디",KBS 2TV
악몽선생,"학교, 웹드라마",네이버TV
안단테 (드라마),"학교, 청소년 드라마",KBS 1TV
앵그리맘,"학교, 블랙 코미디",MBC
얘네들 MONEY?!,"학교, 웹드라마",네이버TV
어쩌다 발견한 하루,"학교, 로맨틱 판타지, 로맨스 드라마",MBC
언어의 온도 : 우리의 열아홉,"학교, 웹드라마","V LIVE, 네이버TV, 유튜브"
SOS - 우리 학교를 구해줘,"학교, 드라마",KBS 2TV
에이틴 (드라마),"학교, 웹드라마, 학원물, 로맨스","V LIVE, 네이버TV, 유튜브, 페이스북"
에이틴 2,"학교, 웹드라마","V LIVE, 네이버TV, 유튜브, 페이스북"
여왕의 교실 (2013년 드라마),학교 드라마,MBC TV
열여덟의 순간,"학교, 드라마",JTBC
열일곱 (드라마),"학교, 웹드라마","네이버TV, 페이스북, 유튜브"
우연일까?,"학교, 로맨틱 코미디, 학원",tvN
장난스런 키스 (드라마),"학교, 청춘 드라마",MBC
정글피쉬,"학교, 드라마",KBS 2TV
정글피쉬 2,"학교, 드라마",KBS 2TV
조립식 가족,"학교, 로맨틱 코미디, 가족, 성장, 휴먼, 힐링",JTBC
좀 예민해도 괜찮아,"학교, 웹드라마","네이버TV, 유튜브, 페이스북"
청춘시대 (드라마),"학교, 드라마",JTBC
청춘시대 2,"학교, 드라마",JTBC
통 메모리즈,"학교, 웹드라마, 액션","다음 tv팟, 웨이브 (스트리밍 서비스)"
통통한 연애,"학교, 웹드라마","네이버TV, 유튜브, 페이스북"
통통한 연애 시즌2,"학교, 웹드라마","네이버TV, 유튜브, 페이스북, V-LINE"
하이스쿨 러브온,"학교, 드라마",지상파
하지 말라면 더 하고 19,"학교, 웹드라마","네이버TV, 유튜브, 페이스북"
학교 (드라마),"학교, 드라마",KBS 2TV
학교 2 (드라마),"학교, 교육 드라마",한국방송공사
학교 2017,"학교, 교육 드라마",KBS 2TV
학교 3 (드라마),"학교, 교육 드라마",한국방송공사
학교 4 (드라마),"학교, 드라마",KBS
학교 2013,"학교, 드라마",KBS 2TV
후아유 - 학교 2015,"학교, 교육 드라마",KBS 2TV
학교 2021,"학교, 학원물, 로맨틱 코미디",KBS 2TV
학교 이야기,학교,
호랑이선생님,"학교, 어린이",MBC TV
화이트 크리스마스 (2011년 드라마),"학교, 드라마",KBS 2TV
훈장 오순남,"학교, 가족, 멜로드라마, 복수, 막장 드라마",MBC
힙한 선생,"학교, 드라마","네이버TV, JTBC 온라인"
