title,genre_name,channel_name
고요의 바다 (드라마),"SF, 미스터리, 스릴러",넷플릭스
그리드 (드라마),"미스터리, 스릴러, SF, 액션",디즈니+
기생수: 더 그레이,"SF, 액션, 모험, 공포",넷플릭스
내일 그대와,"SF, 판타지, 멜로, 로맨스, 드라마",tvN
너도 인간이니?,"판타지, 로맨스, SF",KBS 2TV
당신이 잠든 사이에 (2017년 드라마),"SF, 판타지, 로맨스, 드라마",SBS
뜻밖의 히어로즈,"SF, 드라마",네이버 TV캐스트
레전드히어로 삼국전,"SF, 로봇/액션 마법/특촬물",EBS 1TV
명불허전 (드라마),"SF, 드라마, 의학, 로맨스",tvN
109 별일 다 있네,SF/웹 드라마,네이버TV
스파크 (드라마),"SF, 로맨스","네이버TV, K-STAR"
시그널 (드라마),"SF, 범죄, 미스터리, 스릴러",tvN
시네마틱드라마 SF8,SF 시리즈,"WAVVE, MBC"
시지프스 : the myth,"SF, 판타지, 미스터리, 로맨스",JTBC
써클: 이어진 두 세계,"미스터리, SF",tvN
아머드 사우루스,"SF, 특촬물",SBS
아이엠 (드라마),SF/로맨스,네이버TV
안녕하세요 하느님,SF 로코 드라마,KBS 2TV
애간장 (드라마),"SF, 로맨스",OCN
욘더,"드라마, SF, 로맨스",TVING
종말의 바보,"드라마, SF, 디스토피아, 포스트 아포칼립스",넷플릭스
지배종,"드라마, SF, 스릴러, 액션, 판타지",디즈니+
카이로스 (드라마),"SF, 판타지, 스릴러",MBC
캐셔로,"드라마, SF, 액션, 모험, 슈퍼히어로",넷플릭스
택배기사,"SF, 디스토피아, 액션",넷플릭스
폭군 (드라마),"액션, SF, 판타지",디즈니+
"하이드 지킬, 나","SF, 로맨틱 코미디",SBS
환상의 타이밍,"SF, 가족 드라마, 멜로 드라마, 시츄에이션 드라마","KNN, TBC, TJB 대전방송, JIBS 제주국제자유도시방송, G1방송, ubc 울산방송, JTV 전주방송, CJB 청주방송, kbc 광주방송"
히어로 (2012년 드라마),"SF, 드라마",OCN
