title,genre_name,channel_name
9회말 2아웃,"스포츠, 드라마",MBC
난폭한 로맨스,"스포츠, 로맨스, 코미디",KBS 2TV
너에게 가는 속도 493KM,"로맨스, 스포츠",KBS 2TV
닥터 챔프,스포츠,SBS
닿을 듯 말 듯,"스포츠, 드라마",KBS 2TV
드림 (드라마),"스포츠, 드라마",SBS TV
때려,스포츠,SBS
땐뽀걸즈 (드라마),"스포츠, 청춘, 성장, 휴먼, 드라마",KBS 2TV
라켓소년단,스포츠 드라마,SBS TV
"런닝, 구","스포츠, 드라마",MBC
마지막 승부,"스포츠, 농구, 드라마",MBC 문화방송
맹감독의 악플러,"스포츠, 휴먼, 코미디",MBC TV
모래에도 꽃이 핀다,"스포츠, 드라마, 로맨스, 코미디",ENA
발칙하게 고고,"스포츠, 교육 드라마",KBS 2TV
버디버디 (드라마),"스포츠, 드라마",tvN
빠스껫 볼,"스포츠, 드라마, 시대극",tvN
쇼트 (드라마),"스포츠, 드라마",OCN
슈팅 (드라마),"스포츠, 드라마",KBS 2TV
슈퍼대디 열,"스포츠, 드라마",tvN
스물다섯 스물하나,"스포츠, 로맨스, 드라마, 코미디",tvN
스토브리그 (드라마),스포츠 드라마,SBS
아름다운 그녀,"스포츠, 드라마",SBS
아이싱 (드라마),"스포츠, 드라마",MBC
역도요정 김복주,"청춘, 스포츠, 로맨스, 코미디",MBC
영광의 재인,"가족, 멜로, 스포츠 로코 드라마",KBS 2TV
2009 외인구단,"드라마, 스포츠",MBC
종이학 (드라마),"스포츠, 드라마",KBS 2TV
"태권, 도를 아십니까","스포츠, 드라마 (단막극)",KBS2
퍽 (드라마),"스포츠, 드라마",SBS
