title,genre_name,channel_name
365: 운명을 거스르는 1년,"판타지, 미스터리, 스릴러",MBC TV
"60일, 지정생존자","스릴러, 범죄, 서스펜스, 법률, 정치",tvN
7인의 부활,"스릴러, 액션, 범죄, 느와르, 미스터리, 피카레스크, 공포, 멜로, 드라마, 코미디",SBS TV
7인의 탈출,"범죄, 액션, 스릴러, 미스터리, 피카레스크",SBS TV
99억의 여자,"스릴러, 서스펜스",KBS 2TV
Dr. 브레인 (드라마),"SF, 스릴러, 미스터리, 드라마",애플 TV+
The 8 Show,"스릴러, 드라마, 블랙 코미디",넷플릭스
가면 (드라마),"스릴러, 멜로, 서스펜스",SBS
가족의 비밀,"스릴러, 드라마",tvN
갑동이,"스릴러, 범죄",tvN
강력반 (2011년 드라마),"스릴러, 범죄 수사 드라마",KBS 2TV
거짓말의 거짓말,"로맨스, 가족, 스릴러",채널A
경성크리처,"스릴러, 공포, 역사",넷플릭스
경성크리처 시즌2,"스릴러, 호러, 액션, 괴수",넷플릭스
경이로운 소문 (드라마),"액션, 판타지, 미스터리, 스릴러","OCN, 넷플릭스, tvN"
경이로운 소문 2: 카운터 펀치,"액션, 판타지, 미스터리, 스릴러",tvN
경이로운 소문 시리즈,스릴러,
고요의 바다 (드라마),"SF, 미스터리, 스릴러",넷플릭스
공작도시,"미스터리, 심리, 스릴러, 로맨스","JTBC, KBS 2TV"
구경이,"스릴러, 범죄, 코미디, 느와르",JTBC
구미호: 여우누이뎐,"스릴러, 공포, 드라마",KBS 2TV
구미호뎐,"스릴러, 판타지 액션 로맨틱 코미디",tvN
구해줘 (드라마),"범죄, 스릴러",OCN
귀신 보는 형사 처용,"스릴러, 범죄",OCN
그라운드 제로 (드라마),"스릴러, 드라마",MBC TV
그리드 (드라마),"미스터리, 스릴러, SF, 액션",디즈니+
꽃할배 수사대,"스릴러, 드라마, 범죄, SF",tvN
나쁜 남자 (드라마),"스릴러, 멜로, 서스펜스",SBS
나쁜 형사,"스릴러, 범죄, 수사, 서스펜스",MBC TV
나인 퍼즐,"범죄, 스릴러, 미스터리",디즈니+
남자 이야기 (2009년 드라마),"스릴러, 범죄, 서스펜스, 미스테리, 멜로, 피카레스크",KBS 2TV
너를 노린다,"스릴러, 드라마",SBS
다섯 손가락 (드라마),"스릴러, 음악, 피카레스크",SBS
닥터 프리즈너,"스릴러, 범죄, 메디컬, 서스펜스",KBS 2TV
당신이 죽였다,"범죄, 미스터리, 스릴러",넷플릭스
W (드라마),"스릴러, 드라마",MBC
